checked_at,window_start,window_end,scope,pageviews,sessions,users,new_users,avg_engagement_time_sec
2026-04-23T08:14:55.912938+00:00,2026-04-17,2026-04-23,total,14,15,7,6,99.6
2026-04-23T08:14:55.912938+00:00,2026-04-17,2026-04-23,en,0,0,0,0,0.0
2026-04-23T08:14:55.912938+00:00,2026-04-17,2026-04-23,es,14,15,7,6,99.6
2026-04-23T08:14:55.912938+00:00,2026-04-17,2026-04-23,src:t.co,8,9,4,3,13.1
2026-04-23T08:14:55.912938+00:00,2026-04-17,2026-04-23,src:(not set),5,5,4,2,244.7
2026-04-23T08:14:55.912938+00:00,2026-04-17,2026-04-23,src:(direct),1,1,1,1,152.3
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,total,22,16,7,5,173.9
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,en,2,2,1,0,325.9
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,es,20,16,7,5,133.2
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,src:(direct),8,2,1,1,561.6
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,src:(not set),7,8,5,2,153.0
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,src:t.co,7,8,4,2,54.5
2026-04-24T07:30:03.185172+00:00,2026-04-18,2026-04-24,src:Capcom Investor Relations,0,1,1,0,0.0
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,total,28,19,7,5,153.0
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,en,4,3,1,0,163.2
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,es,24,19,7,5,127.2
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,src:(direct),11,3,1,1,222.0
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,src:t.co,9,10,4,2,46.4
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,src:(not set),7,7,5,2,253.0
2026-04-24T19:53:35.059441+00:00,2026-04-18,2026-04-24,src:Capcom Investor Relations,1,1,1,0,5.8
2026-05-06T09:02:11.067656+00:00,2026-04-30,2026-05-06,total,17,9,7,4,473.6
2026-05-06T09:02:11.067656+00:00,2026-04-30,2026-05-06,en,0,0,0,0,0.0
2026-05-06T09:02:11.067656+00:00,2026-04-30,2026-05-06,es,17,9,7,4,473.6
2026-05-06T09:02:11.067656+00:00,2026-04-30,2026-05-06,src:t.co,13,7,5,3,112.9
2026-05-06T09:02:11.067656+00:00,2026-04-30,2026-05-06,src:(direct),4,1,1,1,3472.7
2026-05-06T09:02:11.067656+00:00,2026-04-30,2026-05-06,src:(not set),0,1,1,0,0.0
2026-05-08T20:07:13.300849+00:00,2026-05-02,2026-05-08,total,7,5,3,1,221.0
2026-05-08T20:07:13.300849+00:00,2026-05-02,2026-05-08,en,0,0,0,0,0.0
2026-05-08T20:07:13.300849+00:00,2026-05-02,2026-05-08,es,7,5,3,1,221.0
2026-05-08T20:07:13.300849+00:00,2026-05-02,2026-05-08,src:(direct),4,1,1,1,1088.9
2026-05-08T20:07:13.300849+00:00,2026-05-02,2026-05-08,src:t.co,3,4,2,0,4.1
